Party,Parent Category,Category,Gas,Unit,Base year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,1. Energy,"1.AD Feedstocks, Reductants and Other Non-energy Use of Fuels",CO₂,kt,12228.1,12228.1,11899.8,12544.2,12346.2,13363.7,13875.1,13883.1,13870.2,13828.2,14251.2,13586.6,12325.1,12128.8,12853.3,13856.4,13696.2,14558.1,15521.3,14893.5,13867.7,16368.5,16628.6,16500.5,12422.5,12613.7,12769.2,13505.8,13934.4,14411,14027.1
Australia,1. Energy,1.B Fugitive Emissions from Fuels,Aggregate GHGs,kt CO₂ equivalent,36002,36002,35348.4,37053.6,35976.8,34009.3,35506.9,35036.9,37679,38248.9,35975,39150.7,39039.5,37697.5,35867.9,35541.4,37145.4,37926.8,40461.2,40448.8,40156.5,39980.6,38735.5,39547.7,40032,38162.3,42928.8,44702.4,46681.5,49489.4,51034.5
Australia,1. Energy,1.B Fugitive Emissions from Fuels,CH₄,kt,1147.57,1147.57,1132.4,1188.47,1152.16,1083.84,1136.46,1129.83,1238.62,1252.89,1151.29,1246.66,1233.39,1186.41,1147.36,1146.28,1208.21,1234.16,1317.12,1317.54,1286.43,1270.35,1233.41,1249.01,1245.93,1154.13,1282.08,1287.97,1269.48,1299.46,1229.7
Australia,1. Energy,1.B Fugitive Emissions from Fuels,CO₂,kt,7272.59,7272.59,7001.3,7303.81,7136.85,6880.26,7060.82,6761.16,6687.46,6900.97,7165.27,7952.98,8172.41,8007.7,7159.02,6859.61,6916.55,7048.57,7506.16,7483.04,7966.68,8190.63,7875.07,8288.34,8847.78,9273.7,10828.9,12442,14863.3,16927.5,20201.3
Australia,1. Energy,1.B Fugitive Emissions from Fuels,N₂O,kt,0.135052,0.135052,0.124935,0.127389,0.12035,0.110906,0.115901,0.100727,0.0873695,0.0858238,0.0919064,0.104372,0.10888,0.0989448,0.0832563,0.082609,0.0790012,0.0811671,0.0904632,0.0914687,0.0975789,0.104981,0.0848477,0.114625,0.120788,0.118464,0.160548,0.205504,0.272273,0.253126,0.304722
Australia,1. Energy,1.B.1 Solid Fuels,Aggregate GHGs,kt CO₂ equivalent,22175.4,22175.4,22481.8,23493,23546.4,21622.6,21619.1,22180.2,24682.1,25679.4,23707.8,25545.2,25237.5,24491.8,23871,24171.4,26186.2,26903,29259.9,28802.7,28160,27114.8,26807.8,26741.1,26706.3,24968.7,27608.5,27514.8,26489.1,27174.4,24573.8
Australia,1. Energy,1.B.1 Solid Fuels,CH₄,kt,839.66,839.66,852.401,887.68,894.043,820.127,820.302,838.303,933.962,974.345,903.198,975.788,960.773,930.087,910.875,924.534,995.526,1027.52,1118.91,1105.61,1074.06,1032.9,1010.47,1006.43,992.73,925.217,1027.94,1018.02,973.813,992.496,900.441
Australia,1. Energy,1.B.1 Solid Fuels,CO₂,kt,1183.88,1183.88,1171.77,1300.99,1195.27,1119.44,1111.53,1222.65,1333.08,1320.77,1127.85,1150.51,1218.13,1239.57,1099.09,1058.06,1297.98,1214.99,1287.16,1162.36,1308.41,1292.1,1545.96,1580.22,1887.7,1837.87,1909.73,2063.87,2143.26,2361.5,2062.35
Australia,1. Energy,1.B.1 Solid Fuels,N₂O,kt,5.32996e-07,5.32996e-07,7.29579e-07,1.41281e-06,3.50196e-06,3.9371e-06,4.86944e-06,8.52397e-06,1.43317e-05,1.88816e-05,1.93569e-05,1.97084e-05,1.69972e-05,1.46531e-05,3.1792e-05,0.000100859,0.000112883,0.000125798,0.00012742,0.000155073,0.000340028,0.000459885,0.000312777,0.000353336,0.00108598,0.00146764,0.00129253,0.00134989,0.00158043,0.00157784,0.00132735
Australia,1. Energy,1.B.2 Oil and Natural Gas and Other Emissions from Energy Production,Aggregate GHGs,kt CO₂ equivalent,13826.6,13826.6,12866.6,13560.6,12430.5,12386.7,13887.9,12856.7,12996.9,12569.5,12267.2,13605.4,13802.1,13205.7,11996.9,11369.9,10959.3,11023.8,11201.3,11646.1,11996.4,12865.9,11927.7,12806.5,13325.7,13193.5,15320.3,17187.6,20192.5,22315.1,26460.7
Australia,1. Energy,1.B.2 Oil and Natural Gas and Other Emissions from Energy Production,CH₄,kt,307.905,307.905,279.995,300.794,258.122,263.714,316.162,291.527,304.658,278.549,248.097,270.874,272.614,256.324,236.487,221.751,212.688,206.642,198.215,211.929,212.367,237.447,222.936,242.575,253.198,228.913,254.147,269.945,295.671,306.963,329.256
